continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,median_age,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Africa,Comoros,2020-09-30,479.0,1.0,7.0,0.0,869595.0,20.4,261.51599999999996,11.88,4.4,23.6,15.574000000000002,64.32,0.503
Africa,Cape Verde,2020-09-30,5900.0,83.0,59.0,0.0,555988.0,25.7,182.21900000000002,2.42,2.1,16.5,0.0,72.98,0.654
North America,Costa Rica,2020-09-30,74604.0,890.0,880.0,19.0,5094114.0,33.6,137.97299999999998,8.78,6.4,17.4,83.84100000000001,80.28,0.794
North America,Cuba,2020-09-30,5531.0,48.0,122.0,0.0,11326616.0,43.1,190.968,8.27,17.1,53.3,85.198,78.8,0.777
North America,Curacao,2020-09-30,370.0,6.0,1.0,0.0,164100.0,41.7,0.0,11.62,0.0,0.0,0.0,78.88,0.0
North America,Cayman Islands,2020-09-30,211.0,0.0,1.0,0.0,65720.0,0.0,0.0,13.22,0.0,0.0,0.0,83.92,0.0
Europe,Cyprus,2020-09-30,1713.0,17.0,22.0,0.0,875899.0,37.3,141.171,9.24,19.6,52.7,0.0,80.98,0.8690000000000001
Europe,Czech Republic,2020-09-30,67843.0,1960.0,636.0,18.0,10708982.0,43.3,227.485,6.82,30.5,38.3,0.0,79.38,0.888
Europe,Germany,2020-09-30,289219.0,1798.0,9488.0,17.0,83783945.0,46.6,156.139,8.31,28.2,33.1,0.0,81.33,0.9359999999999999
Africa,Djibouti,2020-09-30,5416.0,6.0,61.0,0.0,988002.0,25.4,258.03700000000003,6.05,1.7,24.5,0.0,67.11,0.47600000000000003
North America,Dominica,2020-09-30,24.0,0.0,0.0,0.0,71991.0,0.0,227.37599999999998,11.62,0.0,0.0,0.0,75.0,0.715
Europe,Denmark,2020-09-30,27464.0,392.0,650.0,1.0,5792203.0,42.3,114.76700000000001,6.41,19.3,18.8,0.0,80.9,0.929
North America,Dominican Republic,2020-09-30,111900.0,234.0,2101.0,3.0,10847904.0,27.6,266.653,8.2,8.5,19.1,55.181999999999995,74.08,0.736
Africa,Algeria,2020-09-30,51368.0,155.0,1726.0,7.0,43851043.0,29.1,278.36400000000003,6.73,0.7,30.4,83.741,76.88,0.754
South America,Ecuador,2020-09-30,135749.0,784.0,11312.0,32.0,17643060.0,28.1,140.44799999999998,5.55,2.0,12.3,80.635,77.01,0.752
Africa,Egypt,2020-09-30,103079.0,124.0,5914.0,13.0,102334403.0,25.3,525.432,17.31,0.2,50.1,89.82700000000001,71.99,0.696
Africa,Eritrea,2020-09-30,375.0,0.0,0.0,0.0,3546427.0,19.3,311.11,6.05,0.2,11.4,0.0,66.32,0.44
